ID_LAB,Depth,Island_Site,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
100,20,Moorea_2,0.5828,0.9476,0.7037,0.2343,0.06776888830593446,0.31725391162985594,0.10877606967220932,0.034377156498013164
102,20,Moorea_2,0.584,0.6194999999999999,0.7884,0.2571,0.10482684134641598,0.1808217354191691,0.19621881210073164,0.05247528518793924
108,60,Moorea_2,0.7733,0.6576,0.8874,0.252,0.08956443986811333,0.19852522929508648,0.08645127079587796,0.10273482585980494
110,20,Moorea_2,0.694,0.6567000000000001,0.9204,0.2228,0.11071685608895432,0.16708949697691952,0.13974039422363801,0.05999777773662398
111,20,Moorea_2,0.6086,0.3767,0.6413,0.24330000000000002,0.08404125970815368,0.12301043316185285,0.07972738272109248,0.10770437936004892
112,20,Moorea_2,0.5457,0.7501,0.6798,0.2611,0.06884289683362,0.3078803699851977,0.14891294996294535,0.042813419495397576
113,20,Moorea_2,0.692,0.6842,0.6497,0.2544,0.06395658249503679,0.2019289203875683,0.10750405677099922,0.08715783894113535
116,20,Moorea_2,0.5439,0.6672,0.7635,0.2745,0.09520206580391695,0.2261389936398507,0.08576485941871015,0.11620217056683771
118,20,Moorea_2,0.6834,0.5915,1.0505,0.32080000000000003,0.1032076655206493,0.22870177087202453,0.15167380935561828,0.1256359821070381
124,20,Moorea_2,0.6637,0.7337,0.9548,0.247,0.1055557251460626,0.17256885904215485,0.30325962474421153,0.051755837029910615
128,40,Moorea_2,0.7895,0.6672,0.7608,0.1687,0.15345592925078594,0.27973630440112707,0.07864095625054417,0.041952486351956676
140,40,Moorea_2,0.661,0.5078,0.8444,0.18415,0.08321191154048935,0.14039294062657773,0.09996132585488583,0.0866557845732182
143,40,Moorea_2,0.8142,0.823,0.7974,0.1538,0.1386881393631049,0.1636120071660051,0.06460856496368471,0.04117658450030929
146,60,Moorea_2,0.6801,0.7217,0.8303,0.3029,0.07960799792315677,0.26215095312094944,0.05952973113402151,0.19050835502238042
163,60,Moorea_2,0.7079,0.6364,0.8477,0.2119,0.12452973763545619,0.1680854280153729,0.043264175583141405,0.07213328712259763
165,60,Moorea_2,0.6089,0.6531,0.8771,0.2028,0.061504200398563545,0.2827564519354264,0.06883708625765943,0.04394137508595339
166,60,Moorea_2,0.8709,0.6348,0.9247,0.24530000000000002,0.09656368077307559,0.28214015429687894,0.04168412967385389,0.07929838165645837
167,60,Moorea_2,0.75,0.772,0.8636,0.2504,0.09093954035511725,0.30082220662710396,0.07676399619034374,0.08791056060944365
