// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.03
[Head]
SondeName=DEFI2-L
SondeNo=0B2P016
SensorType=Q2B0
SensorType2=0102
SensorType3=60
Channel=2
Interval=300
SampleCnt=2303
StartTime=2018/09/19 11:00:00
EndTime=2018/09/27 10:50:00
StopTime=2018/09/27 10:50:59
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2018/05/23
Immersion_Effect=1.41
Ch1=+8.509383e+03,-1.311739e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=+1.169766e-02,+8.109043e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
[Item]
TimeStamp,Quantum [umol/(m^2s)],Batt. [V],
2018/09/19 11:00:00,2.8,1.43,
2018/09/19 11:05:00,2.8,1.43,
2018/09/19 11:10:00,2.2,1.43,
2018/09/19 11:15:00,2.6,1.43,
2018/09/19 11:20:00,2.7,1.43,
2018/09/19 11:25:00,1.3,1.43,
2018/09/19 11:30:00,121.9,1.43,
2018/09/19 11:35:00,152.1,1.43,
2018/09/19 11:40:00,160.4,1.43,
2018/09/19 11:45:00,116.7,1.43,
2018/09/19 11:50:00,139.5,1.43,
2018/09/19 11:55:00,209.1,1.43,
2018/09/19 12:00:00,148.0,1.43,
2018/09/19 12:05:00,186.6,1.43,
2018/09/19 12:10:00,215.4,1.43,
2018/09/19 12:15:00,189.1,1.43,
2018/09/19 12:20:00,122.5,1.43,
2018/09/19 12:25:00,116.1,1.43,
2018/09/19 12:30:00,85.6,1.43,
2018/09/19 12:35:00,54.7,1.43,
2018/09/19 12:40:00,36.2,1.42,
2018/09/19 12:45:00,33.6,1.43,
2018/09/19 12:50:00,34.9,1.43,
2018/09/19 12:55:00,34.7,1.43,
2018/09/19 13:00:00,42.3,1.42,
2018/09/19 13:05:00,48.1,1.43,
2018/09/19 13:10:00,46.8,1.43,
2018/09/19 13:15:00,38.4,1.42,
2018/09/19 13:20:00,36.1,1.43,
2018/09/19 13:25:00,31.5,1.42,
2018/09/19 13:30:00,30.2,1.43,
2018/09/19 13:35:00,29.4,1.43,
2018/09/19 13:40:00,27.6,1.43,
2018/09/19 13:45:00,21.8,1.43,
2018/09/19 13:50:00,23.3,1.43,
2018/09/19 13:55:00,27.2,1.43,
2018/09/19 14:00:00,30.4,1.43,
2018/09/19 14:05:00,34.2,1.43,
2018/09/19 14:10:00,35.1,1.43,
2018/09/19 14:15:00,34.0,1.43,
2018/09/19 14:20:00,41.9,1.43,
2018/09/19 14:25:00,41.4,1.42,
2018/09/19 14:30:00,55.9,1.43,
2018/09/19 14:35:00,51.6,1.43,
2018/09/19 14:40:00,36.4,1.43,
2018/09/19 14:45:00,63.3,1.42,
2018/09/19 14:50:00,53.5,1.43,
2018/09/19 14:55:00,53.1,1.43,
2018/09/19 15:00:00,58.1,1.43,
2018/09/19 15:05:00,46.0,1.42,
2018/09/19 15:10:00,37.2,1.43,
2018/09/19 15:15:00,38.6,1.43,
2018/09/19 15:20:00,53.0,1.42,
2018/09/19 15:25:00,56.3,1.43,
2018/09/19 15:30:00,59.2,1.43,
2018/09/19 15:35:00,55.4,1.43,
2018/09/19 15:40:00,49.5,1.43,
2018/09/19 15:45:00,44.8,1.43,
2018/09/19 15:50:00,41.2,1.43,
2018/09/19 15:55:00,41.0,1.43,
2018/09/19 16:00:00,34.0,1.43,
2018/09/19 16:05:00,33.4,1.43,
2018/09/19 16:10:00,37.6,1.43,
2018/09/19 16:15:00,44.9,1.43,
2018/09/19 16:20:00,35.6,1.43,
2018/09/19 16:25:00,47.3,1.43,
2018/09/19 16:30:00,30.8,1.43,
2018/09/19 16:35:00,26.2,1.43,
2018/09/19 16:40:00,20.3,1.42,
2018/09/19 16:45:00,18.3,1.43,
2018/09/19 16:50:00,18.2,1.43,
2018/09/19 16:55:00,13.1,1.43,
2018/09/19 17:00:00,9.1,1.43,
2018/09/19 17:05:00,7.7,1.43,
2018/09/19 17:10:00,6.0,1.43,
2018/09/19 17:15:00,5.1,1.43,
2018/09/19 17:20:00,4.9,1.43,
2018/09/19 17:25:00,4.8,1.43,
2018/09/19 17:30:00,4.9,1.43,
2018/09/19 17:35:00,5.4,1.43,
2018/09/19 17:40:00,5.0,1.42,
2018/09/19 17:45:00,3.6,1.43,
2018/09/19 17:50:00,3.0,1.43,
2018/09/19 17:55:00,2.2,1.43,
2018/09/19 18:00:00,1.2,1.43,
2018/09/19 18:05:00,1.0,1.42,
2018/09/19 18:10:00,0.9,1.43,
2018/09/19 18:15:00,0.8,1.42,
2018/09/19 18:20:00,0.8,1.43,
2018/09/19 18:25:00,0.7,1.43,
2018/09/19 18:30:00,0.8,1.43,
2018/09/19 18:35:00,0.8,1.43,
2018/09/19 18:40:00,0.8,1.43,
2018/09/19 18:45:00,0.7,1.42,
2018/09/19 18:50:00,0.8,1.43,
2018/09/19 18:55:00,0.8,1.43,
2018/09/19 19:00:00,0.8,1.43,
2018/09/19 19:05:00,0.8,1.43,
