Depth,Island_Site,Extraction,Nitrogen,Delta_Nitrogen15,Carbon,Delta_Carbon13,Ratio_C_N,Delta_Nitrogen15_SD,Delta_Carbon13_SD,Ratio_C_N_SD,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Delta13C_Pol_Zoox_SD,Delta15N_Pol_Zoox_SD,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox,Ratio13C_Pol_Zoox_SD,Ratio15N_Pol_Zoox_SD
10,Tikehau_2,Polyps,0.10285714285714286,8.93,0.5642857142857143,-18.89857142857143,5.307884179312751,2.143564010396393,1.5325515605402271,0.8258240768561342,0.20428571428571501,0.20428571428571501,2.1477463271332313,2.1477463271332313,0.9888539820995847,1.0525565571503992,0.02688293858594629,0.2545460420237139
10,Tikehau_2,Zoox,0.24000000000000002,8.488571428571428,1.5071428571428571,-19.102857142857143,6.272537546419533,0.27419145205668316,1.3321876029763267,0.580521828222163,0.20428571428571501,0.20428571428571501,2.1477463271332313,2.1477463271332313,0.9888539820995847,1.0525565571503992,0.02688293858594629,0.2545460420237139
20,Tikehau_2,Polyps,0.11857142857142858,9.08,0.82,-17.747142857142858,6.847985347985348,2.7477142015379497,1.3007653424774497,1.820821398120118,0.0928571428571427,0.0928571428571427,3.0121642274838423,3.0121642274838423,0.9942522660828241,0.9681987380685574,0.04113043215839893,0.2864548906485644
20,Tikehau_2,Zoox,0.3942857142857143,9.49,2.7657142857142856,-17.84,7.050388424672725,1.3776550124517146,0.8719327191169436,0.6981392525669525,0.0928571428571427,0.0928571428571427,3.0121642274838423,3.0121642274838423,0.9942522660828241,0.9681987380685574,0.04113043215839893,0.2864548906485644
25,Rangiroa_3,Polyps,0.11333333333333334,9.953333333333333,0.8633333333333333,-16.901666666666667,7.56475468975469,3.741896132533166,0.860381698240186,0.6527531408244189,-0.2633333333333336,-0.2633333333333336,3.37788543322594,3.37788543322594,1.0160049479214885,1.1566816646501985,0.01660153974123293,0.3713895399318323
25,Rangiroa_3,Zoox,0.26,8.518333333333333,1.6733333333333333,-16.638333333333332,6.564989837709756,0.6050261702328807,0.8781894252760425,0.6596436702994701,-0.2633333333333336,-0.2633333333333336,3.37788543322594,3.37788543322594,1.0160049479214885,1.1566816646501985,0.01660153974123293,0.3713895399318323
40,Bora_2,Polyps,0.060000000000000005,4.55,0.23800000000000002,-17.992,4.001428571428571,0.8511169132381284,0.4528465523772926,0.24642339539077504,0.5000000000000006,0.5000000000000006,1.0484369318180278,1.0484369318180278,0.9733836823286884,0.8596950138548582,0.025967318092144094,0.1860810754355127
40,Bora_2,Zoox,0.23199999999999998,5.332,1.342,-18.492,5.781221077772802,0.3298787656094282,0.5884471089231381,0.10317195082459492,0.5000000000000006,0.5000000000000006,1.0484369318180278,1.0484369318180278,0.9733836823286884,0.8596950138548582,0.025967318092144094,0.1860810754355127
40,Moorea_2,Polyps,0.04875,4.18,0.22625,-18.2125,4.670833333333333,0.7749838707999025,0.9364637129725237,0.6858403488618792,0.5387500000000003,0.5387500000000003,0.6346427566524561,0.6346427566524561,0.9738662809332377,1.0640263336908014,0.04858159345138154,0.20130235028257884
40,Moorea_2,Zoox,0.14375,4.015,1.0225,-18.75125,7.117188504112846,0.7992496481075234,1.451023653445092,0.7680994345027017,0.5387500000000003,0.5387500000000003,0.6346427566524561,0.6346427566524561,0.9738662809332377,1.0640263336908014,0.04858159345138154,0.20130235028257884
