Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
2572-Z;10.097;549;0.13;7.97;485;0.73;-20.16
1028-P;18.779;492;0.06;5.64;321;0.26;-18.10
1028-Z;10.286;1,331;0.29;5.84;1,274;1.94;-18.36
1027-Z;9.652;1,103;0.26;5.02;1,056;1.70;-19.17
1027-P;18.358;454;0.06;5.09;342;0.28;-18.79
1029-P;19.207;459;0.06;4.76;344;0.27;-19.12
1029-Z;11.422;1,092;0.21;4.61;1,128;1.54;-19.20
1030-Z;10.74;1,143;0.24;5.26;1,160;1.68;-18.69
1030-P;19.801;459;0.05;5.09;368;0.28;-18.31
1032-P;18.349;673;0.08;5.56;674;0.57;-19.60
1032-Z;11.002;1,572;0.32;5.43;1,773;2.55;-20.38
1031-P;20.397;854;0.10;5.46;818;0.62;-17.99
1031-Z;10.861;1,054;0.22;5.75;1,237;1.79;-18.59
93-Z;9.397;466;0.12;4.41;436;0.70;-20.57
93-P;19.17;203;0.03;2.38;159;0.13;-21.21
94-P;19.685;252;0.03;3.98;228;0.17;-21.09
94-Z;10.265;686;0.15;3.84;673;0.95;-20.89
96-Z;9.615;160;0.05;1.39;149;0.22;-21.34
96-P;18.989;116;0.02;2.36;90;0.07;-21.47
202-Z;11.326;821;0.17;4.49;1,006;1.31;-20.69
202-P;19;551;0.07;5.25;534;0.40;-19.59
203-P;18.665;593;0.07;5.64;563;0.43;-18.68
203-Z;10.604;979;0.21;4.64;1,148;1.60;-19.12
201-P;18.859;464;0.06;4.81;403;0.31;-19.08
201-Z;10.653;681;0.15;4.62;758;1.03;-19.47
2473-Z;11.164;1,134;0.23;8.87;1,095;1.44;-16.72
2473-P;18.925;775;0.09;8.58;648;0.50;-17.40
2476-Z;10.16;732;0.16;8.63;707;1.02;-17.55
2476-P;18.35;550;0.07;7.65;539;0.42;-17.63
2477-P;18.308;400;0.05;7.53;332;0.26;-17.99
2477-Z;10.742;530;0.12;7.90;501;0.67;-18.15
2478-P;18.851;478;0.06;7.61;435;0.33;-17.08
2478-Z;10.25;525;0.12;6.77;472;0.67;-17.00
1845-P;18.369;669;0.08;8.61;581;0.46;-18.58
1845-Z;9.589;1,412;0.33;9.06;1,431;2.24;-18.41
1846-Z;10.569;969;0.21;8.73;997;1.40;-17.79
1846-P;19.984;778;0.09;7.94;661;0.49;-17.74
1847-Z;11.028;1,568;0.32;8.51;1,464;2.03;-17.30
1847-P;17.962;536;0.07;7.50;479;0.39;-17.64
1848-Z;9.63;1,154;0.27;8.78;1,180;1.86;-18.30
1848-P;19.856;911;0.11;8.19;879;0.67;-18.03
1849-Z;9.17;1,146;0.29;9.02;1,222;2.03;-18.14
1849-P;18.546;572;0.07;7.56;600;0.49;-18.17
1850-P;17.48;498;0.07;7.46;426;0.37;-19.34
1850-Z;10.224;1,059;0.24;8.01;1,086;1.63;-19.62
1737-Z;9.545;1,016;0.25;8.50;965;1.56;-20.93
1737-P;22.882;958;0.10;8.49;731;0.49;-20.09
1738-Z;9.433;589;0.15;5.81;539;0.87;-19.27
1738-P;18.776;419;0.06;7.80;279;0.22;-18.60
1739-P;18.554;429;0.06;7.86;280;0.23;-17.78
1739-Z;8.827;750;0.21;8.33;644;1.13;-18.18
1740-P;18.299;487;0.07;7.42;419;0.35;-17.21
1740-Z;9.72;653;0.16;8.24;584;0.93;-17.26
1741-P;22.695;684;0.07;8.11;500;0.34;-17.04
1741-Z;10.509;916;0.21;8.61;838;1.24;-17.37
1742-Z;9.832;1,199;0.29;9.01;1,241;2.00;-17.84
1742-P;19.351;1,051;0.11;8.88;806;0.60;-16.91
2463-P;24.593;986;0.09;8.68;891;0.53;-17.10
2463-Z;10.542;725;0.15;8.04;684;0.94;-16.77
2464-P;22.948;1,086;0.10;9.28;924;0.59;-16.63
2464-Z;9.802;1,343;0.29;8.68;1,279;1.94;-16.36
2467-Z;8.599;681;0.17;7.67;539;0.89;-15.42
2467-P;19.086;678;0.07;9.00;556;0.41;-15.52
2468-P;19.198;630;0.07;9.24;612;0.46;-17.24
2468-Z;10.27;626;0.13;8.79;632;0.88;-16.41
1834-P;19.576;472;0.05;8.06;308;0.22;-18.78
1834-Z;11.04;1,511;0.28;8.10;1,274;1.71;-18.40
1743-Z;9.978;1,214;0.25;9.53;1,079;1.58;-17.61
1743-P;19.008;495;0.06;20.12;350;0.26;-17.33
2479-Z;10.89;1,400;0.27;NA;1,260;1.75;-17.96
2479-P;17.851;662;0.08;6.76;454;0.36;-16.70
2480-P;19.002;377;0.04;7.95;262;0.19;-17.33
2480-Z;9.504;678;0.15;8.12;564;0.85;-17.34
2469-P;18.874;484;0.06;8.48;332;0.25;-16.67
2469-Z;11.687;1,168;0.21;8.95;1,011;1.28;-16.77
2470-P;18.487;441;0.05;10.02;324;0.25;-17.10
2470-Z;10.494;901;0.18;8.75;809;1.11;-17.15
