Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
1612-P;17.536;727;0.08;6.41;334;0.23;-15.65
1612-Z;20.185;4,743;0.44;9.49;4,322;2.85;-15.98
1614-P;20.591;928;0.09;2.47;461;0.27;-15.80
1614-Z;10.515;3,270;0.59;3.67;2,940;3.63;-15.99
1615-P;16.738;805;0.10;NA;371;0.27;-16.67
1615-Z;9.96;2,235;0.44;13.82;1,870;2.43;-17.29
1616-P;17.942;718;0.08;8.58;333;0.22;-16.46
1617-Z;10.011;1,660;0.32;9.17;1,459;1.83;-16.43
1617-P;18.551;552;0.06;8.14;320;0.20;-16.56
1618-Z;9.2;2,276;0.46;9.29;1,880;2.57;-18.18
1618-P;18.622;897;0.09;9.96;391;0.25;-17.75
926-Z;10.026;2,012;0.38;4.78;1,624;2.06;-15.50
919-Z;10.209;1,969;0.36;4.55;1,492;1.86;-15.51
920-Z;9.821;1,588;0.31;4.33;1,282;1.62;-18.80
923-P;19.82;778;0.08;2.24;368;0.22;-15.79
923-Z;10.129;3,144;0.57;5.33;2,904;3.68;-16.32
924-P;18.824;858;0.09;NA;383;0.24;-14.47
924-Z;10.053;2,975;0.55;5.34;2,689;3.42;-15.07
925-Z;10.726;2,628;0.45;4.74;2,379;2.85;-15.85
926-P;18.734;749;0.08;8.46;349;0.22;-15.55
1080-Z;9.882;1,818;0.35;5.44;1,439;1.82;-17.33
1081-Z;10.151;2,316;0.43;5.54;1,861;2.31;-17.14
1081-P;18.063;797;0.09;4.11;379;0.25;-16.86
1082-P;18.029;538;0.06;4.71;309;0.20;-16.99
1082-Z;10.03;2,324;0.43;4.95;2,050;2.59;-17.09
1083-P;18.649;491;0.05;4.02;210;0.13;-18.04
1083-Z;9.876;1,509;0.29;4.88;1,091;1.36;-18.27
1084-P;18.873;965;0.10;5.38;435;0.27;-16.31
1085-Z;11.204;2,208;0.40;4.97;1,660;1.97;-16.34
1085-P;19.015;684;0.08;3.51;329;0.22;-15.86
170-Z;10.096;925;0.19;NA;864;1.12;-17.77
1149-Z;11.171;1,879;0.35;8.64;1,491;1.79;-18.28
1149-P;19.483;492;0.05;NA;259;0.17;-17.58
1853-Z;10.73;1,335;0.25;8.40;1,088;1.32;-18.54
1853-P;20.01;601;0.06;7.82;264;0.16;-17.83
1854-Z;10.864;1,364;0.26;8.22;1,071;1.29;-17.91
1858-Z;9.635;1,830;0.38;8.80;1,551;2.12;-18.17
1858-P;19.974;772;0.08;9.13;366;0.23;-17.65
165-P;21.828;427;0.04;3.40;249;0.14;-18.63
165-Z;11.564;618;0.11;2.94;527;0.56;-18.06
166-Z;11.341;1,217;0.22;3.35;1,185;1.35;-18.11
166-P;20.718;619;0.06;NA;341;0.20;-18.09
167-Z;11.13;1,184;0.21;2.92;1,079;1.25;-18.59
167-P;20.901;354;0.04;0.25;201;0.12;-18.89
168-P;20.304;285;0.03;10.39;174;0.11;-18.77
168-Z;12.431;1,540;0.25;2.94;1,426;1.49;-18.26
1019-P;17.619;586;0.07;3.56;251;0.17;-14.99
1019-Z;10.105;2,018;0.39;4.88;1,750;2.25;-14.41
1020-Z;9.667;1,421;0.28;4.61;1,130;1.55;-16.10
1020-P;16.805;392;0.05;1.46;166;0.12;-15.95
1021-P;21.403;926;0.08;4.60;378;0.22;-15.81
1021-Z;11.574;3,164;0.51;5.14;2,589;3.08;-16.16
1022-Z;9.289;1,361;0.28;3.40;1,012;1.48;-15.42
1022-P;20.66;581;0.06;24.46;241;0.15;-16.05
1023-P;18.247;449;0.05;4.82;164;0.11;-14.92
1023-Z;10.468;2,134;0.40;5.15;1,663;2.15;-13.93
1025-P;18.184;552;0.06;18.46;222;0.15;-15.30
1025-Z;10.545;2,315;0.42;3.22;1,941;2.52;-15.52
1718-P;20.413;552;0.06;6.84;230;0.14;-18.97
1718-Z;6.495;901;0.28;5.34;698;1.39;-18.39
1855-P;13.002;341;0.06;7.34;113;0.11;-18.43
1855-Z;7.148;2,270;0.63;8.93;1,852;3.53;-17.60
1856-P;20.936;608;0.06;7.71;277;0.15;-17.74
1856-Z;10.11;2,970;0.58;9.41;2,582;3.17;-17.47
1862-Z;8.709;637;0.15;NA;480;0.64;-17.96
1862-P;20.741;661;0.07;9.40;275;0.15;-17.92
235-P;19.361;491;0.05;4.36;265;0.16;-14.54
235-Z;10.533;3,371;0.64;4.82;2,871;3.39;-13.79
239-P;21.97;647;0.06;NA;332;0.17;-15.38
239-Z;10.48;2,159;0.42;4.54;1,836;2.16;-15.06
240-Z;11.494;2,478;0.42;4.42;2,123;2.52;-14.08
240-P;22.589;678;0.06;1.99;379;0.21;-14.36
