ID_LAB,Island_Site,Depth,iso13C_Polyps,iso13C_Zoox,iso15N_Polyps,iso15N_Zoox,Ratio_CN_Polyps,Ratio_CN_Zoox,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox
1864,Tikehau_2,10,-18.07,-18.53,13.58,8.44,6.190476190476191,5.757575757575757,0.460000000000001,5.14
1865,Tikehau_2,10,-16.84,-17.43,8.71,8.95,4.461538461538461,7.185185185185184,0.59,-0.239999999999998
1866,Tikehau_2,10,-17.61,-18.08,7.74,8.37,4.428571428571428,6.909090909090909,0.469999999999999,-0.629999999999999
1867,Tikehau_2,10,-21.06,-21.23,8.42,8.09,5.285714285714286,5.708333333333334,0.170000000000002,0.33
1868,Tikehau_2,10,-18.64,-19.1,8.34,8.45,5.888888888888889,6.130434782608695,0.460000000000001,-0.109999999999999
1869,Tikehau_2,10,-20.34,-20.48,6.97,8.4,6.3,6.36,0.140000000000001,-1.43
1870,Tikehau_2,10,-19.73,-18.87,8.75,8.72,4.6,5.857142857142856,-0.859999999999999,0.0299999999999994
201,Moorea_2,72,-19.08,-19.47,4.81,4.62,5.166666666666667,6.866666666666667,0.390000000000001,0.19
202,Moorea_2,72,-19.59,-20.69,5.25,4.49,5.714285714285714,7.705882352941177,1.1,0.76
203,Moorea_2,72,-18.68,-19.12,5.64,4.64,6.142857142857142,7.6190476190476195,0.440000000000001,1
215,Moorea_2,40,-18.31,-19.25,4,4.47,4.25,6.785714285714285,0.940000000000001,-0.47
216,Moorea_2,40,-17.3,-18.51,4.61,3.8,4.166666666666667,6.315789473684211,1.21,0.81
217,Moorea_2,40,-18.85,-20.09,4.71,4.47,4.500000000000001,7.333333333333334,1.24,0.24
219,Moorea_2,40,-17.6,-18.04,4.79,4.23,3.8,6.230769230769231,0.439999999999998,0.56
2463,Rangiroa_3,60,-17.1,-16.77,8.68,8.04,5.888888888888889,6.266666666666667,-0.330000000000002,0.640000000000001
2464,Rangiroa_3,60,-16.63,-16.36,9.28,8.68,5.8999999999999995,6.689655172413794,-0.27,0.6
2465,Rangiroa_3,60,-16.89,-16.65,10.27,9.12,7.166666666666667,7.238095238095238,-0.240000000000002,1.15
2466,Rangiroa_3,60,-17.42,-16.92,13.74,10.37,7,7.058823529411764,-0.5,3.37
2467,Rangiroa_3,60,-15.52,-15.42,9,7.67,5.857142857142856,5.235294117647059,-0.0999999999999996,1.33
2468,Rangiroa_3,60,-17.24,-16.41,9.24,8.79,6.571428571428571,6.769230769230769,-0.829999999999998,0.450000000000001
2469,Rangiroa_3,60,-16.67,-16.77,8.48,8.95,4.166666666666667,6.095238095238096,0.0999999999999979,-0.469999999999999
2470,Rangiroa_3,60,-17.1,-17.15,10.02,8.75,5,6.166666666666668,0.0499999999999972,1.27
2473,Rangiroa_3,40,-17.4,-16.72,8.58,8.87,5.555555555555555,6.260869565217391,-0.68,-0.289999999999999
2475,Rangiroa_3,40,-15.8,-15.67,5.02,13.2,8.555555555555555,6.875,-0.130000000000001,-8.18
2476,Rangiroa_3,40,-17.63,-17.55,7.65,8.63,5.999999999999999,6.375,-0.0799999999999983,-0.98
2477,Rangiroa_3,40,-17.99,-18.15,7.53,7.9,5.2,5.583333333333334,0.16,-0.37
2478,Rangiroa_3,40,-17.08,-17,7.61,6.77,5.500000000000001,5.583333333333334,-0.0799999999999983,0.840000000000001
2480,Rangiroa_3,40,-17.33,-17.34,7.95,8.12,4.75,5.666666666666667,0.0100000000000016,-0.169999999999999
2563,Rangiroa_3,90,-18.72,-19.89,6.74,6.85,4.75,5.6000000000000005,1.17,-0.109999999999999
2564,Rangiroa_3,90,-19.07,-19.11,9.88,7.86,8,6.357142857142857,0.0399999999999991,2.02
2565,Rangiroa_3,90,-20.67,-21.12,8.91,8.77,8.333333333333334,7.4444444444444455,0.449999999999999,0.140000000000001
2567,Rangiroa_3,90,-19.28,-19.27,11.27,10.07,6.909090909090909,6.6410256410256405,-0.0100000000000016,1.2
2568,Rangiroa_3,90,-19.31,-20.1,9.07,9.54,6.5,6.157894736842104,0.790000000000003,-0.469999999999999
2569,Rangiroa_3,90,-20.05,-20.35,8.39,7.47,6.833333333333333,6.1,0.300000000000001,0.920000000000001
2570,Rangiroa_3,90,-20.34,-20.6,7.5,8.33,4.25,5.4,0.260000000000002,-0.83
2571,Rangiroa_3,90,-20.13,-20.13,7.34,8.12,4.25,6.230769230769231,0,-0.779999999999999
2572,Rangiroa_3,90,-19.69,-20.16,7.95,7.97,4.5,5.615384615384615,0.469999999999999,-0.0199999999999996
2573,Rangiroa_3,25,-17.18,-17.11,9.06,7.79,8.357142857142856,6.565217391304348,-0.0700000000000003,1.27
2574,Rangiroa_3,25,-17.34,-16.95,6.87,7.91,7.090909090909091,6.12,-0.390000000000001,-1.04
2575,Rangiroa_3,25,-17.36,-16.63,7.67,8.28,6.857142857142856,7.636363636363636,-0.73,-0.609999999999999
2576,Rangiroa_3,25,-16.52,-16.23,9.62,8.88,6.999999999999999,5.674418604651163,-0.289999999999999,0.739999999999998
2577,Rangiroa_3,25,-17.68,-17.74,17.29,9.18,8,6.666666666666666,0.0599999999999987,8.11
2578,Rangiroa_3,25,-15.33,-15.17,9.21,9.07,8.083333333333334,6.7272727272727275,-0.16,0.140000000000001
852,Bora_2,40,-18.21,-18.82,4.69,4.83,4,5.857142857142858,0.609999999999999,-0.14
853,Bora_2,40,-18.24,-18.74,5.51,5.22,4.3999999999999995,5.666666666666667,0.5,0.29
854,Bora_2,40,-18.33,-18.11,5.09,5.53,4,5.904761904761905,-0.219999999999999,-0.44
855,Bora_2,40,-17.22,-17.67,3.33,5.69,3.75,5.787878787878787,0.450000000000003,-2.36
856,Bora_2,40,-17.96,-19.12,4.13,5.39,3.857142857142857,5.689655172413794,1.16,-1.26
909,Bora_2,90,-21.5,-20.96,3.47,5.55,3.75,6.166666666666668,-0.539999999999999,-2.08
910,Bora_2,90,-21.18,-21.57,5.39,5.12,5,5.823529411764706,0.390000000000001,0.27
911,Bora_2,90,-22.96,-23.17,7.14,6.04,3.5000000000000004,5.625,0.210000000000001,1.1
912,Bora_2,90,-20.93,-20.39,4.83,4.8,4.25,6.750000000000001,-0.539999999999999,0.0300000000000002
913,Bora_2,90,-21.38,-22.01,4.72,5.7,4.333333333333334,6.636363636363636,0.630000000000003,-0.98
914,Bora_2,90,-21.09,-20.63,5.34,5.48,4.75,5.9375,-0.460000000000001,-0.140000000000001
915,Bora_2,90,-20.84,-20.76,5.37,4.95,6.25,7.333333333333334,-0.0799999999999983,0.42
916,Bora_2,90,-21.76,-21.47,4.46,4.33,5,6.1,-0.290000000000003,0.13
917,Bora_2,90,-21.08,-21.88,6.01,5.92,4.500000000000001,6.750000000000001,0.800000000000001,0.0899999999999999
918,Bora_2,90,-19.98,-19.97,5.67,5.99,3.75,5.833333333333334,-0.0100000000000016,-0.32
93,Moorea_2,90,-21.21,-20.57,2.38,4.41,4.333333333333334,5.833333333333333,-0.640000000000001,-2.03
94,Moorea_2,77,-21.09,-20.89,3.98,3.84,5.666666666666667,6.333333333333333,-0.199999999999999,0.14
95,Moorea_2,77,-19.85,-19.49,3.33,3.53,4.5,6.454545454545454,-0.360000000000003,-0.2
96,Moorea_2,90,-21.47,-21.34,2.36,1.39,3.5000000000000004,4.3999999999999995,-0.129999999999999,0.97
