"Plot Title: 20385335_RAN3_20m_temp_light"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 20385335, SEN S/N: 20385335)","Intensity, Lux (LGR S/N: 20385335, SEN S/N: 20385335)","Coupler Attached (LGR S/N: 20385335)","Coupler Detached (LGR S/N: 20385335)","Host Connected (LGR S/N: 20385335)","Stopped (LGR S/N: 20385335)","End Of File (LGR S/N: 20385335)"
86,18/11/05 18:05:00,28.853,0.0,,,,,
87,18/11/05 18:10:00,28.357,0.0,,,,,
88,18/11/05 18:15:00,28.655,0.0,,,,,
89,18/11/05 18:20:00,28.853,0.0,,,,,
90,18/11/05 18:25:00,28.853,0.0,,,,,
91,18/11/05 18:30:00,28.754,0.0,,,,,
92,18/11/05 18:35:00,28.357,0.0,,,,,
93,18/11/05 18:40:00,28.754,0.0,,,,,
94,18/11/05 18:45:00,28.754,0.0,,,,,
95,18/11/05 18:50:00,28.754,0.0,,,,,
96,18/11/05 18:55:00,28.754,0.0,,,,,
97,18/11/05 19:00:00,28.555,0.0,,,,,
98,18/11/05 19:05:00,28.258,0.0,,,,,
99,18/11/05 19:10:00,28.357,0.0,,,,,
100,18/11/05 19:15:00,28.456,0.0,,,,,
101,18/11/05 19:20:00,28.357,0.0,,,,,
102,18/11/05 19:25:00,28.159,0.0,,,,,
103,18/11/05 19:30:00,28.555,0.0,,,,,
104,18/11/05 19:35:00,28.754,0.0,,,,,
105,18/11/05 19:40:00,28.754,0.0,,,,,
106,18/11/05 19:45:00,28.655,0.0,,,,,
107,18/11/05 19:50:00,28.754,0.0,,,,,
108,18/11/05 19:55:00,28.754,0.0,,,,,
109,18/11/05 20:00:00,28.754,0.0,,,,,
110,18/11/05 20:05:00,28.754,0.0,,,,,
111,18/11/05 20:10:00,28.754,0.0,,,,,
112,18/11/05 20:15:00,28.754,0.0,,,,,
113,18/11/05 20:20:00,28.754,0.0,,,,,
114,18/11/05 20:25:00,28.754,0.0,,,,,
115,18/11/05 20:30:00,28.754,0.0,,,,,
116,18/11/05 20:35:00,28.754,0.0,,,,,
117,18/11/05 20:40:00,28.655,0.0,,,,,
118,18/11/05 20:45:00,28.655,0.0,,,,,
119,18/11/05 20:50:00,28.754,0.0,,,,,
120,18/11/05 20:55:00,28.754,0.0,,,,,
121,18/11/05 21:00:00,28.754,0.0,,,,,
122,18/11/05 21:05:00,28.754,0.0,,,,,
123,18/11/05 21:10:00,28.754,0.0,,,,,
124,18/11/05 21:15:00,28.754,0.0,,,,,
125,18/11/05 21:20:00,28.754,0.0,,,,,
126,18/11/05 21:25:00,28.754,0.0,,,,,
127,18/11/05 21:30:00,28.754,0.0,,,,,
128,18/11/05 21:35:00,28.754,0.0,,,,,
129,18/11/05 21:40:00,28.754,0.0,,,,,
130,18/11/05 21:45:00,28.754,0.0,,,,,
131,18/11/05 21:50:00,28.754,0.0,,,,,
132,18/11/05 21:55:00,28.754,0.0,,,,,
133,18/11/05 22:00:00,28.754,0.0,,,,,
134,18/11/05 22:05:00,28.754,0.0,,,,,
135,18/11/05 22:10:00,28.754,0.0,,,,,
136,18/11/05 22:15:00,28.754,0.0,,,,,
137,18/11/05 22:20:00,28.754,0.0,,,,,
138,18/11/05 22:25:00,28.754,0.0,,,,,
139,18/11/05 22:30:00,28.754,0.0,,,,,
140,18/11/05 22:35:00,28.754,0.0,,,,,
141,18/11/05 22:40:00,28.754,0.0,,,,,
142,18/11/05 22:45:00,28.754,0.0,,,,,
143,18/11/05 22:50:00,28.754,0.0,,,,,
144,18/11/05 22:55:00,28.754,0.0,,,,,
145,18/11/05 23:00:00,28.754,0.0,,,,,
146,18/11/05 23:05:00,28.754,0.0,,,,,
147,18/11/05 23:10:00,28.754,0.0,,,,,
148,18/11/05 23:15:00,28.754,0.0,,,,,
149,18/11/05 23:20:00,28.754,0.0,,,,,
150,18/11/05 23:25:00,28.754,0.0,,,,,
151,18/11/05 23:30:00,28.754,0.0,,,,,
152,18/11/05 23:35:00,28.754,0.0,,,,,
153,18/11/05 23:40:00,28.754,0.0,,,,,
154,18/11/05 23:45:00,28.754,0.0,,,,,
155,18/11/05 23:50:00,28.754,0.0,,,,,
156,18/11/05 23:55:00,28.754,0.0,,,,,
157,18/11/06 00:00:00,28.754,0.0,,,,,
158,18/11/06 00:05:00,28.754,0.0,,,,,
159,18/11/06 00:10:00,28.754,0.0,,,,,
160,18/11/06 00:15:00,28.754,0.0,,,,,
161,18/11/06 00:20:00,28.754,0.0,,,,,
162,18/11/06 00:25:00,28.754,0.0,,,,,
163,18/11/06 00:30:00,28.754,0.0,,,,,
164,18/11/06 00:35:00,28.754,0.0,,,,,
165,18/11/06 00:40:00,28.754,0.0,,,,,
166,18/11/06 00:45:00,28.754,0.0,,,,,
167,18/11/06 00:50:00,28.754,0.0,,,,,
168,18/11/06 00:55:00,28.754,0.0,,,,,
169,18/11/06 01:00:00,28.754,0.0,,,,,
170,18/11/06 01:05:00,28.754,0.0,,,,,
171,18/11/06 01:10:00,28.754,0.0,,,,,
172,18/11/06 01:15:00,28.754,0.0,,,,,
173,18/11/06 01:20:00,28.754,0.0,,,,,
174,18/11/06 01:25:00,28.853,0.0,,,,,
175,18/11/06 01:30:00,28.853,0.0,,,,,
176,18/11/06 01:35:00,28.754,0.0,,,,,
177,18/11/06 01:40:00,28.853,0.0,,,,,
178,18/11/06 01:45:00,28.754,0.0,,,,,
179,18/11/06 01:50:00,28.754,0.0,,,,,
180,18/11/06 01:55:00,28.754,0.0,,,,,
181,18/11/06 02:00:00,28.754,0.0,,,,,
182,18/11/06 02:05:00,28.754,0.0,,,,,
183,18/11/06 02:10:00,28.754,0.0,,,,,
184,18/11/06 02:15:00,28.754,0.0,,,,,
185,18/11/06 02:20:00,28.754,0.0,,,,,
186,18/11/06 02:25:00,28.754,0.0,,,,,
187,18/11/06 02:30:00,28.754,0.0,,,,,
188,18/11/06 02:35:00,28.754,0.0,,,,,
189,18/11/06 02:40:00,28.754,0.0,,,,,
190,18/11/06 02:45:00,28.754,0.0,,,,,
191,18/11/06 02:50:00,28.754,0.0,,,,,
192,18/11/06 02:55:00,28.754,0.0,,,,,
193,18/11/06 03:00:00,28.754,0.0,,,,,
194,18/11/06 03:05:00,28.754,0.0,,,,,
195,18/11/06 03:10:00,28.754,0.0,,,,,
196,18/11/06 03:15:00,28.853,0.0,,,,,
197,18/11/06 03:20:00,28.754,0.0,,,,,
198,18/11/06 03:25:00,28.754,0.0,,,,,
199,18/11/06 03:30:00,28.754,0.0,,,,,
200,18/11/06 03:35:00,28.754,0.0,,,,,
201,18/11/06 03:40:00,28.754,0.0,,,,,
202,18/11/06 03:45:00,28.754,0.0,,,,,
203,18/11/06 03:50:00,28.754,0.0,,,,,
204,18/11/06 03:55:00,28.754,0.0,,,,,
205,18/11/06 04:00:00,28.754,0.0,,,,,
206,18/11/06 04:05:00,28.754,0.0,,,,,
207,18/11/06 04:10:00,28.754,21.5,,,,,
208,18/11/06 04:15:00,28.754,43.1,,,,,
209,18/11/06 04:20:00,28.754,86.1,,,,,
210,18/11/06 04:25:00,28.754,139.9,,,,,
211,18/11/06 04:30:00,28.754,183.0,,,,,
212,18/11/06 04:35:00,28.754,247.6,,,,,
213,18/11/06 04:40:00,28.754,301.4,,,,,
214,18/11/06 04:45:00,28.754,409.0,,,,,
215,18/11/06 04:50:00,28.754,753.5,,,,,
216,18/11/06 04:55:00,28.754,742.7,,,,,
217,18/11/06 05:00:00,28.754,1001.0,,,,,
218,18/11/06 05:05:00,28.853,1162.5,,,,,
219,18/11/06 05:10:00,28.853,667.4,,,,,
220,18/11/06 05:15:00,28.853,893.4,,,,,
221,18/11/06 05:20:00,28.853,1808.3,,,,,
222,18/11/06 05:25:00,28.853,2411.1,,,,,
223,18/11/06 05:30:00,28.853,2411.1,,,,,
224,18/11/06 05:35:00,28.953,2927.8,,,,,
225,18/11/06 05:40:00,28.953,2927.8,,,,,
226,18/11/06 05:45:00,28.953,3272.2,,,,,
227,18/11/06 05:50:00,28.853,2411.1,,,,,
228,18/11/06 05:55:00,28.953,4650.0,,,,,
229,18/11/06 06:00:00,28.953,4305.6,,,,,
230,18/11/06 06:05:00,28.953,4133.4,,,,,
231,18/11/06 06:10:00,29.053,4822.3,,,,,
232,18/11/06 06:15:00,28.953,1894.5,,,,,
233,18/11/06 06:20:00,28.953,1377.8,,,,,
234,18/11/06 06:25:00,29.053,6200.0,,,,,
235,18/11/06 06:30:00,28.953,5338.9,,,,,
236,18/11/06 06:35:00,28.953,2152.8,,,,,
237,18/11/06 06:40:00,28.953,2152.8,,,,,
238,18/11/06 06:45:00,28.953,3100.0,,,,,
239,18/11/06 06:50:00,29.053,5511.1,,,,,
240,18/11/06 06:55:00,29.152,6544.5,,,,,
241,18/11/06 07:00:00,29.152,7233.4,,,,,
242,18/11/06 07:05:00,29.152,5338.9,,,,,
243,18/11/06 07:10:00,29.152,8266.7,,,,,
244,18/11/06 07:15:00,29.252,8611.2,,,,,
245,18/11/06 07:20:00,28.953,1894.5,,,,,
246,18/11/06 07:25:00,29.053,2927.8,,,,,
247,18/11/06 07:30:00,29.252,10677.8,,,,,
248,18/11/06 07:35:00,29.252,9644.5,,,,,
249,18/11/06 07:40:00,29.252,8266.7,,,,,
250,18/11/06 07:45:00,29.252,7233.4,,,,,
251,18/11/06 07:50:00,29.252,7233.4,,,,,
252,18/11/06 07:55:00,29.252,11711.2,,,,,
253,18/11/06 08:00:00,29.252,10677.8,,,,,
254,18/11/06 08:05:00,29.352,10333.4,,,,,
255,18/11/06 08:10:00,29.352,13089.0,,,,,
256,18/11/06 08:15:00,29.352,10677.8,,,,,
257,18/11/06 08:20:00,29.352,10677.8,,,,,
258,18/11/06 08:25:00,29.352,9300.1,,,,,
259,18/11/06 08:30:00,29.252,11711.2,,,,,
260,18/11/06 08:35:00,29.352,3616.7,,,,,
261,18/11/06 08:40:00,29.352,10677.8,,,,,
262,18/11/06 08:45:00,29.452,13777.9,,,,,
263,18/11/06 08:50:00,29.352,11022.3,,,,,
264,18/11/06 08:55:00,29.352,11711.2,,,,,
265,18/11/06 09:00:00,29.352,9644.5,,,,,
266,18/11/06 09:05:00,29.352,10333.4,,,,,
267,18/11/06 09:10:00,29.352,10333.4,,,,,
268,18/11/06 09:15:00,29.352,9644.5,,,,,
269,18/11/06 09:20:00,29.452,12400.1,,,,,
270,18/11/06 09:25:00,29.152,2066.7,,,,,
271,18/11/06 09:30:00,29.452,9644.5,,,,,
272,18/11/06 09:35:00,29.352,16533.4,,,,,
273,18/11/06 09:40:00,29.452,13777.9,,,,,
274,18/11/06 09:45:00,29.053,2755.6,,,,,
275,18/11/06 09:50:00,29.252,11022.3,,,,,
276,18/11/06 09:55:00,29.252,8266.7,,,,,
277,18/11/06 10:00:00,29.352,12400.1,,,,,
278,18/11/06 10:05:00,29.452,13089.0,,,,,
279,18/11/06 10:10:00,29.452,8611.2,,,,,
280,18/11/06 10:15:00,29.452,13089.0,,,,,
281,18/11/06 10:20:00,29.252,3100.0,,,,,
282,18/11/06 10:25:00,29.452,11711.2,,,,,
283,18/11/06 10:30:00,29.352,3961.1,,,,,
284,18/11/06 10:35:00,29.053,1205.6,,,,,
285,18/11/06 10:40:00,28.953,925.7,,,,,
286,18/11/06 10:45:00,28.953,1722.2,,,,,
287,18/11/06 10:50:00,29.053,2669.5,,,,,
288,18/11/06 10:55:00,29.152,2583.4,,,,,
289,18/11/06 11:00:00,29.252,3616.7,,,,,
290,18/11/06 11:05:00,29.352,5511.1,,,,,
291,18/11/06 11:10:00,29.352,5338.9,,,,,
292,18/11/06 11:15:00,29.352,4994.5,,,,,
293,18/11/06 11:20:00,29.352,4822.3,,,,,
294,18/11/06 11:25:00,29.352,5511.1,,,,,
295,18/11/06 11:30:00,29.252,4994.5,,,,,
296,18/11/06 11:35:00,29.352,4822.3,,,,,
297,18/11/06 11:40:00,29.352,4305.6,,,,,
298,18/11/06 11:45:00,29.352,3788.9,,,,,
299,18/11/06 11:50:00,29.352,3961.1,,,,,
300,18/11/06 11:55:00,29.252,4822.3,,,,,
301,18/11/06 12:00:00,29.352,4650.0,,,,,
302,18/11/06 12:05:00,29.352,5338.9,,,,,
303,18/11/06 12:10:00,29.152,2325.0,,,,,
304,18/11/06 12:15:00,29.152,2927.8,,,,,
305,18/11/06 12:20:00,29.352,3616.7,,,,,
306,18/11/06 12:25:00,29.252,3100.0,,,,,
307,18/11/06 12:30:00,29.352,2927.8,,,,,
308,18/11/06 12:35:00,29.352,3100.0,,,,,
309,18/11/06 12:40:00,29.252,2927.8,,,,,
310,18/11/06 12:45:00,29.252,2669.5,,,,,
311,18/11/06 12:50:00,29.252,2583.4,,,,,
312,18/11/06 12:55:00,29.252,2583.4,,,,,
313,18/11/06 13:00:00,29.252,2583.4,,,,,
314,18/11/06 13:05:00,29.252,2755.6,,,,,
315,18/11/06 13:10:00,29.252,2497.2,,,,,
316,18/11/06 13:15:00,29.152,1722.2,,,,,
317,18/11/06 13:20:00,29.152,1980.6,,,,,
318,18/11/06 13:25:00,29.152,1980.6,,,,,
319,18/11/06 13:30:00,29.152,1980.6,,,,,
320,18/11/06 13:35:00,29.152,1894.5,,,,,
321,18/11/06 13:40:00,29.152,2066.7,,,,,
322,18/11/06 13:45:00,29.152,1550.0,,,,,
323,18/11/06 13:50:00,29.152,1808.3,,,,,
324,18/11/06 13:55:00,29.152,1463.9,,,,,
325,18/11/06 14:00:00,29.152,1636.1,,,,,
326,18/11/06 14:05:00,29.152,1550.0,,,,,
327,18/11/06 14:10:00,29.053,1324.0,,,,,
