"sample";"island";"depth";"archipelago";"site";"Colbar";"A5/A5n";"A1-A1h-A1dl";"C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p";"C42.2/C1/C42g/C42a-C1b-C1az-C1au-C3-C115k-C41p-C115d";"C1/C42.2/C1j-C1b-C3cg-C1au-C3-C45c-C115k";"C42aj-C1cu";"C42.2/C1-C1b-C3-C1au";"C1cd/C1cf-C1-C1cg-C1ch-C1da";"C42.2/C1/C42a/C1b-C1az-C1au-C115d-C3-C1j";"C116-C116af-C116ag-C116q";"C1cd/C1cf-C1-C1cg-C1ce-C1ch";"C15h";"C116";"C1d/C42.2/C1";"C1/C42.2/C3-C1b";"C3fu";"C15/C15m";"C1/C42.2/C1ag-C3cg-C1b-C1bi-C3cw-C45c";"C116/C42.2-C1-C116q";"C21-C21u-C3-C21w-C21v";"C3";"C42a/C1/C42.2/C1b/C3-C1au";"C3/C21/C3av-C3at-C3b-C3dp";"C1/C42.2/C1d/C3cg-C1b-C3-C45c-C115k-C1au";"C1/C3";"D1-D6-D4-D2d-D2.2-D1h-D2f";"D1/D4-D6-D1h-D2g-D2d-D2.2";"D1-D6-D4-D1h-D2g";"D1-D4-D4c-D6-D1c";"D1/D6/D4-D2d-D1h-D2.2";"G3a-G3ai-G3ae"
"POC732";"SOCBOR";"6";"Society";"SOCBOR1";"c5";0;0;0;8692;0;0;0;0;0;0;0;1269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6038";"SOCMOO";"6";"Society";"SOCMOO1";"c3";0;0;0;0;46962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC729";"SOCBOR";"6";"Society";"SOCBOR1";"c4";0;0;0;0;6124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6037";"SOCMOO";"6";"Society";"SOCMOO1";"c2";0;0;0;0;30954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1020";"SOCBOR";"6";"Society";"SOCBOR2";"c2";0;0;0;0;0;0;0;0;1205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC1021";"SOCBOR";"6";"Society";"SOCBOR2";"c3";0;0;0;0;0;0;0;0;4082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC726";"SOCBOR";"6";"Society";"SOCBOR1";"c1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2550;0;0;0;0;0;0;0;0;0;0;0;0
"POC5989";"SOCMOO";"20";"Society";"SOCMOO1";"c1";0;0;64111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6272";"SOCTAH";"20";"Society";"SOCTAH2";"c3";0;0;13231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC926";"SOCBOR";"20";"Society";"SOCBOR2";"c8";0;0;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC5990";"SOCMOO";"20";"Society";"SOCMOO1";"c2";0;0;50277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6271";"SOCTAH";"20";"Society";"SOCTAH2";"c2";0;0;2517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6270";"SOCTAH";"20";"Society";"SOCTAH2";"c1";0;0;4096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC924";"SOCBOR";"20";"Society";"SOCBOR2";"c6";0;0;3085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC925";"SOCBOR";"20";"Society";"SOCBOR2";"c7";0;0;5664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6205";"SOCTAH";"20";"Society";"SOCTAH1";"c5";0;0;17385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6274";"SOCTAH";"20";"Society";"SOCTAH2";"c5";0;0;9979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6204";"SOCTAH";"20";"Society";"SOCTAH1";"c4";0;0;20611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC922";"SOCBOR";"20";"Society";"SOCBOR2";"c4";0;0;22927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC5996";"SOCMOO";"20";"Society";"SOCMOO1";"c6";0;0;64359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC618";"SOCBOR";"20";"Society";"SOCBOR1";"c2";0;0;21007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC128";"SOCMOO";"20";"Society";"SOCMOO2";"c8";0;0;36029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6201";"SOCTAH";"20";"Society";"SOCTAH1";"c2";0;0;16257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6199";"SOCTAH";"20";"Society";"SOCTAH1";"c1";0;0;17837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC920";"SOCBOR";"20";"Society";"SOCBOR2";"c2";0;0;29904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC617";"SOCBOR";"20";"Society";"SOCBOR1";"c1";0;0;33150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6273";"SOCTAH";"20";"Society";"SOCTAH2";"c4";0;0;7096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC619";"SOCBOR";"20";"Society";"SOCBOR1";"c3";0;0;19857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC100";"SOCMOO";"20";"Society";"SOCMOO2";"c1";0;0;33041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC6203";"SOCTAH";"20";"Society";"SOCTAH1";"c3";0;0;859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC5991";"SOCMOO";"20";"Society";"SOCMOO1";"c3";0;0;23526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC921";"SOCBOR";"20";"Society";"SOCBOR2";"c3";0;0;29609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC620";"SOCBOR";"20";"Society";"SOCBOR1";"c4";0;0;0;35700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC923";"SOCBOR";"20";"Society";"SOCBOR2";"c5";0;0;0;2093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"POC622";"SOCBOR";"20";"Society";"SOCBOR1";"c6";0;0;0;7922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
